NO.,Academy_name,class_name,class_ID,subject,level,class_hour_day,class_hour_time,like,student_list_ID,syllabus_ID,class_size,tuition,careerOfTeacher,ageDistribution
1,hok,hok_a,1001,math,1,"1,0,1,0,1,0,0","6, 7",0,"0000013715, 0000021069, 0000014255, 0000007310",1001010100,4,490000,2,4
2,hok,hok_b,1002,math,1,"0,1,0,1,0,1,0","7, 8",0,"0000011674, 0000001529, 0000024151, 0000025784, 0000018260, 0000004534",1001010101,6,290000,4,4
3,hok,hok_c,1003,math,2,"1,0,1,0,1,0,0","7, 8",0,"0000005032, 0000019315, 0000024781, 0000030526, 0000019042, 0000032704, 0000015540, 0000029280, 0000016563, 0000010471, 0000021302, 0000022072, 0000001875, 0000017869, 0000021619, 0000019443, 0000013836, 0000005411, 0000012840, 0000013547, 0000017694, 0000006460, 0000025648, 0000027934, 0000005603, 0000003611, 0000022091",1001010202,27,320000,1,5
4,hok,hok_d,1004,math,2,"0,1,0,1,0,1,0","7, 8",0,"0000028335, 0000001489, 0000025375, 0000008394, 0000028154, 0000007942, 0000000124, 0000000764, 0000014529, 0000002517, 0000000228, 0000022660, 0000026665, 0000020189",1001010203,14,580000,1,4
5,hok,hok_e,1005,math,3,"1,0,1,0,1,0,0","8, 9",0,"0000006165, 0000031334, 0000003220, 0000016923, 0000022271, 0000019163, 0000007903, 0000032379, 0000019805, 0000021890, 0000025824, 0000027857, 0000027280, 0000018831, 0000006415, 0000017797, 0000003564, 0000012112, 0000028557, 0000017673, 0000014256, 0000009560, 0000028341, 0000029206, 0000017980, 0000030940, 0000013811, 0000006456, 0000004990",1001010304,29,390000,3,4
6,hok,hok_f,1006,math,4,"1,0,1,0,1,0,0","6, 7",0,"0000009945, 0000008588, 0000001710, 0000018311, 0000009327, 0000007880, 0000028219, 0000012122, 0000023755, 0000017533, 0000013829, 0000015751, 0000020706, 0000007833, 0000019916, 0000010269, 0000003742",1001010405,17,490000,1,2
7,Yak,Yak_a,2001,math,1,"1,0,1,0,0,0,0","8, 9",0,"0000021480, 0000016996, 0000020785, 0000029052, 0000022587, 0000001033, 0000031656, 0000004642, 0000019301, 0000002940, 0000008643, 0000019638, 0000028214, 0000008087, 0000004868, 0000001666, 0000021865, 0000029824, 0000007174, 0000024195, 0000021903, 0000014288, 0000029200, 0000015029",1002010100,24,520000,1,4
8,Yak,Yak_b,2002,math,1,"0,1,0,0,0,1,0","8, 9",0,"0000010229, 0000031978, 0000014993, 0000029626, 0000015061, 0000029423, 0000013011, 0000018748, 0000006067, 0000031588, 0000005760, 0000006226, 0000026711, 0000019208, 0000028968",1002010101,15,520000,2,5
9,Yak,Yak_c,2003,math,1,"1,0,0,0,1,0,0","9, 10",0,"0000017769, 0000028396, 0000022120, 0000022421, 0000016927, 0000014725, 0000027316, 0000007087, 0000023320, 0000001536, 0000026963, 0000029923, 0000019591",1002010102,13,470000,1,3
10,Yak,Yak_d,2004,math,2,"0,1,0,1,0,0,0","6, 7",0,"0000019371, 0000019858, 0000005011, 0000003231, 0000030143, 0000023875, 0000007934, 0000003627, 0000003062, 0000014159, 0000029445, 0000017103, 0000022046, 0000012765, 0000017544, 0000009725, 0000021424, 0000014609, 0000020331, 0000017175, 0000025942, 0000025217, 0000027708, 0000001157, 0000012202, 0000021737, 0000010518",1002010203,27,270000,4,5
11,Yak,Yak_e,2005,math,2,"1,0,0,0,1,0,0","9, 10",0,"0000006977, 0000022559, 0000027077, 0000000835, 0000005608, 0000008521, 0000021290, 0000010154, 0000031021, 0000012109, 0000001505, 0000027769, 0000014882, 0000019337, 0000027682, 0000000025, 0000018013, 0000000709, 0000007909, 0000006574, 0000012867, 0000010853",1002010204,22,360000,1,3
12,Yak,Yak_f,2006,math,3,"1,0,1,0,0,0,0","7, 8",0,"0000018412, 0000007303, 0000017891, 0000006455, 0000008748, 0000027373, 0000024701, 0000024643, 0000004031, 0000017492, 0000012075, 0000008147, 0000006530, 0000027635, 0000003796, 0000003458, 0000031154, 0000025059, 0000012993, 0000013511, 0000024066, 0000027869",1002010305,22,570000,3,3
13,Yak,Yak_g,2007,math,3,"0,0,1,0,1,0,0","6, 7",0,"0000012136, 0000011480, 0000013982, 0000032761, 0000026898, 0000012984, 0000002466, 0000024893, 0000007571, 0000022156, 0000031586, 0000004240, 0000011559, 0000019825, 0000011026, 0000013473, 0000022217, 0000000325, 0000009898, 0000000222, 0000010312",1002010306,21,410000,2,4
14,Yak,Yak_h,2008,math,4,"0,1,0,1,0,1,0","9, 10",0,"0000004075, 0000028998, 0000003312, 0000004534, 0000030532, 0000014696, 0000028482, 0000006861, 0000011026, 0000004867, 0000023716, 0000022616, 0000001185, 0000026116, 0000000469, 0000022119, 0000026836, 0000010388, 0000019951, 0000004857",1002010407,20,490000,4,5
15,Yak,Yak_i,2009,math,5,"0,0,0,0,0,1,1","8, 9",0,"0000021588, 0000008861, 0000015715, 0000012896, 0000016615, 0000021640, 0000001270, 0000030446, 0000001970, 0000004114, 0000015068, 0000021229, 0000021727, 0000030279, 0000019267, 0000021478, 0000018856, 0000001552, 0000020926",1002010508,19,230000,2,3
16,Gang,Gang_a,3001,math,2,"0,1,0,1,0,1,0","8, 9",0,"0000021458, 0000009642, 0000019687, 0000025101, 0000007799, 0000024663, 0000013642, 0000009964, 0000000009, 0000011348, 0000031614, 0000024849, 0000002452, 0000019722, 0000012693, 0000001372, 0000006979, 0000009608, 0000025527, 0000003940",1003010200,20,590000,3,5
17,Gang,Gang_b,3002,math,5,"1,0,1,0,1,0,0","8, 9",0,"0000003889, 0000025609, 0000011718, 0000025394, 0000002226, 0000003539, 0000002237, 0000030602, 0000020792, 0000017379, 0000022259, 0000024061",1003010501,12,510000,1,5
18,Gang,Gang_c,3003,math,4,"1,0,1,0,1,0,0","9, 10",0,"0000011820, 0000013463, 0000017871, 0000001901, 0000031411",1003010402,5,210000,2,4
19,Gang,Gang_d,3004,math,3,"1,0,1,0,0,0,0","7, 8",0,"0000030396, 0000026176, 0000009644, 0000017585, 0000031290, 0000025221, 0000003295, 0000010829, 0000027135, 0000023211, 0000021073, 0000017292, 0000001987, 0000021015, 0000021025, 0000002335, 0000000583, 0000012826",1003010303,18,480000,3,2
20,Gang,Gang_e,3005,math,4,"0,1,0,0,0,1,0","7, 8",0,"0000013041, 0000002966, 0000005920, 0000015876, 0000003838, 0000009354, 0000032298, 0000018287, 0000014952, 0000016787, 0000026238, 0000030827, 0000028871, 0000011444, 0000015260, 0000029129, 0000026049, 0000018638, 0000007029, 0000017931, 0000023772, 0000006689, 0000019672, 0000026126, 0000029583, 0000014352, 0000031277, 0000016620",1003010404,28,480000,5,2
21,Gang,Gang_f,3006,math,5,"1,0,0,0,1,0,0","8, 9",0,"0000003108, 0000001125, 0000006944, 0000013225, 0000000596, 0000000561, 0000024811, 0000001018, 0000003716, 0000016242, 0000030711, 0000030119, 0000011083, 0000020721, 0000021563",1003010505,15,380000,5,2
22,Gang,Gang_g,3007,math,5,"1,0,1,0,1,0,0","6, 7",0,"0000013817, 0000004177, 0000021534, 0000001899, 0000019417, 0000005186, 0000010207, 0000023728, 0000003251, 0000030967, 0000018484, 0000017301, 0000026261, 0000003289, 0000016433, 0000030703, 0000020179, 0000013693, 0000020076",1003010506,19,220000,5,1
23,Gang,Gang_h,3008,math,5,"1,0,1,0,0,0,0","9, 10",0,"0000017769, 0000028396, 0000022120, 0000022421, 0000016927, 0000014725, 0000027316, 0000007087, 0000023320, 0000001536, 0000026963, 0000029923, 0000019591",1003010507,13,580000,3,5
24,Gang,Gang_i,3009,math,5,"0,1,0,0,0,1,0","6, 7",0,"0000008543, 0000030608, 0000030448",1003010508,3,530000,1,1
25,Gang,Gang_j,3010,math,4,"1,0,0,0,1,0,0","9, 10",0,"0000013069, 0000011389, 0000020608",1003010409,3,270000,1,2
26,Gang,Gang_k,3011,math,3,"0,1,0,1,0,0,0","6, 7",0,"0000002025, 0000021137, 0000006804, 0000027718, 0000021747, 0000012501, 0000003554, 0000019795, 0000020772, 0000028018, 0000005820, 0000032751, 0000013836, 0000007109, 0000031451, 0000029572, 0000013242, 0000028854, 0000003164, 0000008008, 0000023516, 0000004422, 0000003592, 0000025967",1003010310,24,210000,3,5
27,Gang,Gang_l,3012,math,4,"1,0,0,0,1,0,0","8, 9",0,"0000012136, 0000011480, 0000013982, 0000032761, 0000026898, 0000012984, 0000002466, 0000024893, 0000007571, 0000022156, 0000031586, 0000004240, 0000011559, 0000019825, 0000011026, 0000013473, 0000022217, 0000000325, 0000009898, 0000000222, 0000010312",1003010411,21,310000,4,3
28,Gang,Gang_m,3013,math,1,"1,0,1,0,0,0,0","8, 9",0,"0000007359, 0000024571, 0000003354, 0000002228, 0000005812, 0000003392, 0000007974, 0000017218, 0000023095, 0000006503, 0000026072, 0000024564, 0000006918, 0000022159, 0000025318, 0000012670, 0000006545, 0000006580, 0000005226, 0000001629, 0000020467, 0000000978, 0000010621",1003010112,23,250000,2,3
29,Gang,Gang_n,3014,math,5,"0,1,0,1,0,0,0","9, 10",0,"0000013469, 0000031429, 0000016304, 0000027063, 0000001148, 0000008205, 0000009835, 0000029196, 0000029993, 0000029507, 0000030289, 0000031235, 0000031117, 0000001918, 0000029359, 0000000513, 0000029065, 0000023017, 0000003471, 0000014140, 0000002954, 0000032014, 0000030182, 0000006432, 0000025694",1003010513,25,580000,2,1
30,Gang,Gang_o,3015,math,2,"1,0,0,0,1,0,0","6, 7",0,"0000022031, 0000003570, 0000022854, 0000030407, 0000022136, 0000010931, 0000016460, 0000017432, 0000014492, 0000012871, 0000031446, 0000003813, 0000007729, 0000004054, 0000005756, 0000000314, 0000020642, 0000020595, 0000028695",1003010214,19,290000,3,4
31,Gang,Gang_p,3016,math,2,"1,0,1,0,0,0,0","7, 8",0,"0000007359, 0000024571, 0000003354, 0000002228, 0000005812, 0000003392, 0000007974, 0000017218, 0000023095, 0000006503, 0000026072, 0000024564, 0000006918, 0000022159, 0000025318, 0000012670, 0000006545, 0000006580, 0000005226, 0000001629, 0000020467, 0000000978, 0000010621",1003010215,23,280000,2,4
32,Gang,Gang_q,3017,math,1,"0,0,1,0,1,0,0","6, 7",0,"0000027431, 0000026189, 0000025864, 0000000452, 0000025721, 0000018064, 0000008919, 0000025293, 0000020282",1003010116,9,290000,4,3
33,Gang,Gang_r,3018,math,1,"0,1,0,1,0,1,0","7, 8",0,"0000013039, 0000015092, 0000011960, 0000027364, 0000032546, 0000031380, 0000026734, 0000009280, 0000012000, 0000010794, 0000009847, 0000026622",1003010117,12,440000,2,5
34,Gang,Gang_s,3019,math,5,"0,0,1,0,1,0,0","7, 8",0,"0000030741, 0000015945, 0000021527, 0000013727, 0000021402, 0000028575",1003010518,6,400000,1,3
35,Gang,Gang_t,3020,math,1,"0,1,0,1,0,1,0","8, 9",0,"0000002457, 0000014635, 0000004023, 0000003640, 0000013942, 0000005097, 0000029886, 0000013219, 0000011254, 0000022631, 0000013705, 0000020149, 0000010672, 0000015537, 0000004485",1003010119,15,580000,5,4
36,Gang,Gang_u,3021,math,1,"1,0,1,0,1,0,0","9, 10",0,"0000001702, 0000012685, 0000005361, 0000031857, 0000005918, 0000000256, 0000019786, 0000025480, 0000009389, 0000013844, 0000008711, 0000024998, 0000011413, 0000012761, 0000009607, 0000024316, 0000022609, 0000004522, 0000029256, 0000029793, 0000025709, 0000019121",1003010120,22,510000,5,5
37,Gang,Gang_v,3022,math,4,"1,0,1,0,1,0,0","8, 9",0,"0000000756, 0000027035, 0000007854, 0000024338, 0000028419, 0000015364, 0000019955, 0000007938, 0000000556, 0000021724, 0000010931, 0000014377, 0000014530",1003010421,13,580000,4,1
38,Gang,Gang_w,3023,math,5,"1,0,1,0,0,0,0","9, 10",0,"0000029053, 0000002151, 0000032371, 0000006437, 0000002820, 0000001589, 0000007719, 0000001521, 0000006945, 0000009107, 0000026922, 0000005837, 0000000283, 0000023873, 0000022926, 0000019606, 0000011557, 0000018994, 0000013259, 0000032239, 0000028456, 0000016190, 0000027561, 0000014483, 0000008899, 0000023319, 0000020576, 0000019690, 0000023697",1003010522,29,530000,5,3
39,Him,Him_a,4001,math,3,"1,0,1,0,0,0,0","8, 9",0,"0000017405, 0000014298, 0000031914, 0000029879, 0000000519, 0000024287, 0000019052, 0000004154, 0000014691, 0000021086, 0000032123, 0000016299, 0000032117, 0000002614, 0000022534, 0000032524, 0000021128, 0000020633, 0000013900, 0000018738",1004010300,20,330000,4,1
40,Him,Him_b,4002,math,4,"0,1,0,0,0,1,0","6, 7",0,"0000020250, 0000014175, 0000011637, 0000024173, 0000029190, 0000025384",1004010401,6,510000,2,5
41,Him,Him_c,4003,math,1,"1,0,0,0,1,0,0","9, 10",0,"0000020307, 0000005624, 0000029100, 0000014425, 0000023784, 0000013224, 0000006029, 0000021280, 0000019342, 0000032260, 0000031700, 0000018814, 0000014114, 0000009858, 0000015085, 0000029623, 0000020003, 0000015284, 0000006899, 0000027152, 0000018455, 0000022045, 0000021807, 0000014399, 0000006954, 0000001859",1004010102,26,520000,5,2
42,Him,Him_d,4004,math,3,"1,0,1,0,1,0,0","6, 7",0,"0000025888, 0000013593, 0000016133",1004010303,3,540000,5,1
43,Him,Him_e,4005,math,1,"1,0,1,0,0,0,0","6, 7",0,"0000008873, 0000015182, 0000006959, 0000018574, 0000014880, 0000005709, 0000021836, 0000011057, 0000002187, 0000019534, 0000017083",1004010104,11,210000,3,3
44,Him,Him_f,4006,math,4,"0,1,0,0,0,1,0","7, 8",0,"0000008041, 0000028459, 0000006917, 0000010626, 0000023967, 0000008573, 0000030830, 0000000619, 0000005301, 0000030466, 0000018122, 0000027860, 0000003650, 0000013379, 0000005266, 0000026914",1004010405,16,300000,3,3
45,Him,Him_g,4007,math,2,"1,0,0,0,1,0,0","8, 9",0,"0000012659, 0000031287, 0000002771, 0000027126, 0000025753",1004010206,5,390000,3,5
46,Him,Him_h,4008,math,3,"0,1,0,1,0,0,0","6, 7",0,"0000029630, 0000031805, 0000022258, 0000002157, 0000005275, 0000007649, 0000002448, 0000015661, 0000022213, 0000025443, 0000003400, 0000019600, 0000004927, 0000016203, 0000020939, 0000020877, 0000031477, 0000022883, 0000028691, 0000004169, 0000021573, 0000026148, 0000029697, 0000010544, 0000012734, 0000004718, 0000026948, 0000000581",1004010307,28,330000,1,4
47,Him,Him_i,4009,math,2,"1,0,0,0,1,0,0","6, 7",0,"0000022396, 0000012156, 0000023222, 0000014788, 0000019222, 0000022943, 0000015540, 0000009429, 0000016392, 0000007324, 0000016769, 0000004958, 0000019156, 0000004415, 0000023499, 0000013870",1004010208,16,370000,2,3
48,Him,Him_j,4010,math,2,"1,0,1,0,0,0,0","7, 8",0,"0000019797, 0000007224, 0000009498, 0000030338, 0000006160, 0000009282, 0000022154, 0000032459, 0000015789, 0000015173, 0000012343, 0000029409, 0000018003, 0000014806, 0000005426, 0000008993, 0000005183, 0000016215, 0000005417, 0000022293",1004010209,20,290000,4,3
