NO.,Academy_name,class_name,class_ID,subject,level,class_hour_day,class_hour_time,like,student_list_ID,syllabus_ID,class_size,tuition,careerOfTeacher,ageDistribution
49,Him,Him_k,4011,math,4,"0,1,0,1,0,0,0","8, 9",0,"0000008422, 0000016362, 0000012986, 0000026592, 0000026648, 0000028452, 0000020185, 0000027997, 0000017494, 0000009616, 0000005730, 0000029080, 0000021857, 0000003706, 0000010178, 0000030812",1004010410,16,330000,4,3
50,Him,Him_l,4012,math,5,"1,0,0,0,1,0,0","6, 7",0,"0000030570, 0000019639, 0000017221, 0000022890, 0000020989, 0000032239, 0000009481",1004010511,7,210000,2,2
51,Him,Him_m,4013,math,1,"1,0,1,0,0,0,0","7, 8",0,"0000029254, 0000028250, 0000011317, 0000010122, 0000030030, 0000029036, 0000007871, 0000031729, 0000005711, 0000019723, 0000001091, 0000017796",1004010112,12,260000,5,5
52,Him,Him_n,4014,math,5,"0,1,0,1,0,0,0","8, 9",0,"0000028994, 0000020206, 0000009938, 0000000991, 0000022585, 0000002970, 0000018263, 0000007408, 0000008805, 0000023866, 0000029006, 0000013508, 0000017148",1004010513,13,340000,1,3
53,Him,Him_o,4015,math,5,"1,0,0,0,1,0,0","6, 7",0,"0000016839, 0000015357, 0000020652, 0000003230, 0000007929, 0000014529, 0000020108, 0000008883, 0000026841, 0000001285, 0000000339, 0000000998, 0000006124, 0000016908, 0000009416, 0000024111, 0000015961, 0000009514, 0000005497, 0000026163, 0000008002, 0000000462, 0000017072",1004010514,23,550000,4,5
54,Him,Him_p,4016,math,3,"1,0,1,0,0,0,0","6, 7",0,"0000020564, 0000013504, 0000031907, 0000015227, 0000006557, 0000021670, 0000029419, 0000031471, 0000001950, 0000019405, 0000030519, 0000010502, 0000025506, 0000016166, 0000022594, 0000024804, 0000001614, 0000026255, 0000026882",1004010315,19,480000,1,2
55,Him,Him_q,4017,math,4,"0,0,1,0,1,0,0","6, 7",0,"0000014456, 0000014932, 0000002083, 0000016769, 0000005693, 0000006646, 0000015283, 0000030640, 0000010317, 0000020523, 0000013599, 0000005007, 0000010122, 0000006181, 0000020830, 0000004740, 0000007890, 0000002071, 0000026988, 0000022254, 0000024344, 0000001270",1004010416,22,290000,4,5
56,Him,Him_r,4018,math,3,"0,1,0,1,0,1,0","6, 7",0,"0000023049, 0000031162, 0000009085, 0000020836, 0000013586, 0000013582, 0000006771, 0000018147, 0000017835, 0000012094, 0000010800, 0000005636, 0000029056, 0000009047, 0000007518, 0000011096, 0000019755, 0000001180, 0000018173, 0000018285, 0000010837, 0000025632",1004010317,22,250000,2,5
57,Him,Him_s,4019,math,3,"0,0,1,0,1,0,0","9, 10",0,"0000012542, 0000020766, 0000021652, 0000029728, 0000022375, 0000026815, 0000016477, 0000007935, 0000031067, 0000021358, 0000026090, 0000030668, 0000009177, 0000000387, 0000028228",1004010318,15,490000,4,1
58,Him,Him_t,4020,math,2,"0,1,0,1,0,1,0","8, 9",0,"0000007516, 0000032728, 0000020966, 0000012455, 0000004435, 0000017781, 0000032720",1004010219,7,380000,3,2
59,Him,Him_q,4021,math,1,"1,0,1,0,1,0,0","8, 9",0,"0000004048, 0000001133, 0000031447, 0000012876",1004010120,4,280000,5,1
60, myeongout,myeongout_a,5001,math,3,"1,0,1,0,1,0,0","6, 7",0,"0000000515, 0000024895, 0000024532, 0000004075, 0000014865, 0000004747, 0000012744, 0000004548, 0000020907, 0000026516, 0000001392, 0000011204, 0000007423, 0000012505, 0000016925, 0000023947, 0000015487, 0000028438, 0000032618, 0000021207, 0000005443, 0000031256, 0000024770, 0000024824, 0000010408, 0000002511, 0000018978, 0000030852",1005010300,28,400000,2,2
61, myeongout,myeongout_b,5002,math,2,"1,0,1,0,0,0,0","6, 7",0,"0000021925, 0000021024, 0000024395, 0000006881, 0000015886, 0000005421",1005010201,6,510000,5,4
62, myeongout,myeongout_c,5003,math,1,"1,0,1,0,0,0,0","9, 10",0,"0000025637, 0000013408, 0000019991, 0000004459, 0000018168, 0000021734, 0000022482, 0000024476, 0000004738, 0000026415, 0000031863, 0000012385, 0000028752, 0000014508, 0000013709, 0000012731, 0000018098, 0000001403, 0000016776, 0000004059, 0000006753",1005010102,21,370000,2,5
63, myeongout,myeongout_d,5004,math,5,"0,1,0,0,0,1,0","6, 7",0,"0000012943, 0000022746, 0000013157, 0000025518, 0000023170, 0000018602, 0000002358, 0000023990, 0000014396, 0000004429, 0000014882, 0000006587, 0000018965, 0000029508, 0000004590, 0000019578, 0000027051, 0000014923, 0000025536",1005010503,19,470000,2,4
64, myeongout,myeongout_e,5005,math,2,"1,0,1,0,0,0,0","8, 9",0,"0000005347, 0000029251, 0000015165, 0000004143, 0000018474, 0000026736, 0000010478, 0000021943, 0000019969, 0000019684, 0000011752, 0000029441, 0000010168, 0000002107, 0000002732, 0000030619, 0000029561, 0000006537, 0000030028, 0000026462, 0000029577, 0000004241, 0000031439, 0000009795, 0000006859, 0000030776, 0000004055, 0000022137",1005010204,28,450000,1,4
65, myeongout,myeongout_f,5006,math,3,"0,1,0,0,0,1,0","9, 10",0,"0000017721, 0000005249, 0000023732, 0000028007",1005010305,4,310000,4,5
66, myeongout,myeongout_g,5007,math,4,"1,0,0,0,1,0,0","6, 7",0,"0000020365, 0000032455, 0000015306, 0000002398, 0000009407, 0000020597, 0000030005, 0000027388, 0000002692, 0000025220, 0000019237, 0000016912, 0000000729, 0000026644, 0000014606, 0000007632, 0000007017",1005010406,17,550000,5,1
67, myeongout,myeongout_h,5008,math,3,"0,1,0,1,0,0,0","8, 9",0,"0000009629, 0000018626, 0000014581, 0000016801, 0000010560",1005010307,5,290000,3,5
68, myeongout,myeongout_i,5009,math,5,"1,0,0,0,1,0,0","6, 7",0,"0000012793, 0000016138, 0000007656, 0000028110, 0000031885, 0000018737, 0000023566, 0000020171, 0000029577, 0000020891, 0000018676, 0000002797, 0000030444, 0000024413, 0000006701, 0000024841, 0000027519, 0000008238, 0000029279, 0000009663, 0000023989, 0000004032, 0000015176, 0000017767, 0000019414, 0000010577, 0000024831, 0000008777, 0000023388",1005010508,29,310000,3,4
69, myeongout,myeongout_j,5010,math,3,"1,0,1,0,0,0,0","7, 8",0,"0000021116, 0000008972, 0000032158, 0000005718, 0000027483, 0000001394, 0000018347, 0000031670, 0000010973, 0000018754, 0000000377, 0000006612, 0000023600, 0000018309, 0000012351",1005010309,15,260000,4,2
70, myeongout,myeongout_k,5011,math,4,"0,1,0,1,0,0,0","8, 9",0,"0000005104, 0000018932, 0000008223, 0000024102, 0000009965, 0000014002, 0000012552, 0000019784, 0000032303, 0000009271, 0000027355, 0000001003, 0000027703, 0000027020, 0000007372, 0000022397, 0000026504, 0000032446, 0000003084, 0000012420",1005010410,20,310000,4,1
71, myeongout,myeongout_l,5012,math,2,"1,0,0,0,1,0,0","8, 9",0,"0000016781, 0000030117, 0000005355, 0000006110, 0000029284, 0000026533, 0000011417, 0000005638, 0000032142, 0000013694, 0000029769, 0000011654, 0000025766, 0000002989, 0000004757, 0000009815, 0000023631, 0000026266, 0000000851, 0000031179, 0000029222, 0000028863, 0000003365, 0000016846, 0000020213, 0000003085, 0000013644, 0000011627",1005010211,28,280000,4,4
72, myeongout,myeongout_m,5013,math,3,"1,0,1,0,0,0,0","6, 7",0,"0000002699, 0000009661, 0000007826, 0000015239, 0000023105, 0000014711, 0000021784, 0000021530, 0000010324, 0000008979, 0000019199, 0000020336, 0000016242, 0000024989, 0000009720, 0000005126",1005010312,16,550000,2,3
73, myeongout,myeongout_n,5014,math,4,"0,0,1,0,1,0,0","8, 9",0,"0000030626, 0000025126, 0000025088, 0000015410, 0000006282, 0000006693, 0000002845, 0000027084, 0000016424, 0000004171, 0000026347, 0000003046, 0000026768, 0000023853, 0000022327, 0000014949, 0000021033, 0000026469, 0000028872, 0000007496",1005010413,20,290000,3,5
74, myeongout,myeongout_o,5015,math,3,"0,1,0,1,0,1,0","7, 8",0,"0000002195, 0000007245, 0000022991, 0000023146, 0000000930, 0000017299, 0000023267, 0000012731, 0000012365, 0000024315, 0000030898, 0000002934, 0000032737",1005010314,13,390000,5,3
75, myeongout,myeongout_p,5016,math,1,"0,0,1,0,1,0,0","7, 8",0,"0000017306, 0000030613, 0000016196, 0000028421, 0000030280, 0000023580, 0000014902, 0000010709, 0000021281, 0000027890, 0000009175, 0000025039, 0000028896, 0000021999",1005010115,14,250000,5,1
76, myeongout,myeongout_q,5017,math,4,"0,1,0,1,0,1,0","6, 7",0,"0000017080, 0000014977, 0000019254, 0000019544, 0000007395",1005010416,5,480000,1,4
77, myeongout,myeongout_r,5018,math,2,"1,0,1,0,1,0,0","6, 7",0,"0000029637, 0000031863, 0000017503, 0000026777, 0000025162, 0000029581, 0000028783, 0000009401, 0000004152, 0000022800, 0000012090, 0000025240, 0000003867, 0000015664, 0000016836, 0000019068, 0000025641, 0000022040, 0000029725, 0000027780, 0000016921, 0000008816, 0000017881, 0000005958, 0000005432",1005010217,25,370000,2,3
78, myeongout,myeongout_s,5019,math,4,"1,0,1,0,1,0,0","9, 10",0,"0000030399, 0000000438, 0000005561, 0000011886, 0000019398, 0000019530, 0000021580, 0000009735, 0000008253, 0000007515",1005010418,10,570000,4,2
79, myeongout,myeongout_t,5020,math,2,"1,0,1,0,1,0,0","8, 9",0,"0000002752, 0000005961, 0000023759, 0000003089, 0000031548, 0000000404, 0000021237, 0000020932, 0000023538, 0000019268, 0000011952, 0000008053, 0000011895, 0000001578, 0000014040, 0000027566, 0000028160",1005010219,17,290000,5,3
80, myeongout,myeongout_u,5021,math,3,"1,0,1,0,0,0,0","6, 7",0,"0000010973, 0000014379, 0000005411, 0000013894, 0000005805, 0000009779, 0000012509, 0000017116, 0000007640, 0000009513, 0000009433, 0000002451, 0000000498, 0000028510, 0000001263, 0000018033, 0000026682, 0000018729, 0000010220, 0000018849, 0000008824, 0000013882, 0000022417, 0000030571, 0000032556, 0000006443, 0000016862, 0000001124",1005010320,28,290000,2,4
81, myeongout,myeongout_v,5022,math,4,"0,1,0,0,0,1,0","6, 7",0,"0000029016, 0000003984, 0000016866, 0000015598, 0000010993, 0000017384, 0000003763, 0000028975, 0000013645, 0000018862, 0000016399, 0000000339, 0000021377, 0000020854",1005010421,14,360000,2,1
82, myeongout,myeongout_w,5023,math,3,"1,0,0,0,1,0,0","9, 10",0,"0000029479, 0000023346, 0000025890, 0000005326, 0000008770, 0000021927, 0000021672, 0000018121, 0000013035, 0000014114, 0000024597, 0000022051, 0000011319, 0000008305",1005010322,14,210000,4,5
83, myeongout,myeongout_x,5024,math,5,"0,1,0,1,0,0,0","8, 9",0,"0000030515, 0000032114, 0000024256, 0000001062, 0000001970, 0000029376, 0000007601, 0000012541, 0000029040, 0000023812, 0000032687, 0000025320, 0000009541, 0000028929, 0000004223, 0000014436, 0000016971, 0000008640, 0000017943, 0000008799, 0000015690, 0000031281, 0000000948, 0000011000, 0000007284, 0000014868, 0000021287, 0000006535",1005010523,28,490000,4,4
84, myeongout, myeongin_aa,5025,math,3,"1,0,0,0,1,0,0","6, 7",0,"0000014874, 0000018543, 0000006109, 0000019199, 0000023368",1005010324,5,590000,1,1
85, myeongout, myeongin_ab,5026,math,2,"1,0,1,0,0,0,0","7, 8",0,"0000015565, 0000000660, 0000001437, 0000001172, 0000008171, 0000013283, 0000031220",1005010225,7,330000,4,5
86, myeongout, myeongin_ac,5027,math,1,"0,1,0,1,0,0,0","6, 7",0,"0000023187, 0000030824, 0000031532, 0000020808, 0000006701, 0000027261, 0000004741, 0000016823, 0000010160, 0000007884",1005010126,10,350000,3,1
87, myeongout, myeongin_ad,5028,math,3,"1,0,0,0,1,0,0","6, 7",0,"0000026999, 0000002149, 0000021002, 0000016829, 0000003311, 0000007150, 0000007907, 0000016670, 0000026703, 0000023430, 0000020528",1005010327,11,430000,1,5
88,choiak,choiak_a,6001,eng,2,"1,0,1,0,0,0,0","9, 10",0,"0000013160, 0000007818, 0000009072, 0000017099, 0000006082, 0000002105, 0000003958, 0000015303, 0000019688, 0000000696, 0000025439, 0000016922, 0000020231, 0000027480, 0000020935, 0000007744, 0000025527, 0000021532, 0000015421, 0000009440, 0000024857, 0000032374, 0000021235, 0000010156, 0000027426, 0000029522, 0000023738",1201010200,27,310000,5,4
89,choiak,choiak_b,6002,eng,1,"0,1,0,1,0,0,0","9, 10",0,"0000006966, 0000023637, 0000015150, 0000030191, 0000017913, 0000000615, 0000032558, 0000002963, 0000021346, 0000005487, 0000008592, 0000027204, 0000023825, 0000008541, 0000013330, 0000031763",1201010101,16,460000,3,1
90,choiak,choiak_c,6003,eng,2,"1,0,0,0,1,0,0","7, 8",0,"0000021614, 0000007827, 0000029111, 0000017858, 0000031403, 0000015491, 0000014896, 0000002241, 0000021172, 0000028312, 0000007594, 0000030825, 0000008123, 0000029890, 0000032675, 0000016462, 0000007379, 0000009314, 0000003152, 0000005863, 0000013675, 0000020151, 0000021821, 0000030620",1201010202,24,420000,5,3
91,choiak,choiak_d,6004,eng,2,"1,0,1,0,0,0,0","8, 9",0,"0000027544, 0000008501, 0000017184, 0000028813, 0000023657, 0000029537, 0000014849, 0000012790, 0000023368, 0000003507, 0000001406, 0000025190, 0000027271, 0000029318, 0000017048, 0000032421, 0000022623, 0000010622, 0000017260, 0000005426, 0000010978, 0000019382, 0000031423, 0000021383, 0000002098",1201010203,25,570000,5,2
92,choiak,choiak_e,6005,eng,4,"0,0,1,0,1,0,0","9, 10",0,"0000017883, 0000030878, 0000028401, 0000010513, 0000002202, 0000020660, 0000021240, 0000020576, 0000020416, 0000007757, 0000029260, 0000001611, 0000028045, 0000005240, 0000030285, 0000018172, 0000017555, 0000018004, 0000013617, 0000008489, 0000013510, 0000012243, 0000010161, 0000009458, 0000024274, 0000015294",1201010404,26,320000,5,5
93,choiak,choiak_f,6006,eng,1,"0,1,0,1,0,1,0","8, 9",0,"0000014856, 0000012721, 0000027386, 0000018183, 0000008468, 0000030332, 0000000265, 0000024773, 0000009303, 0000020097",1201010105,10,400000,1,1
94,choiak,choiak_g,6007,eng,5,"0,0,1,0,1,0,0","7, 8",0,"0000008471, 0000015245, 0000022423, 0000019623, 0000012195, 0000010008, 0000027310, 0000016509, 0000016908, 0000018010, 0000010410, 0000021886, 0000012138, 0000011619, 0000018802",1201010506,15,480000,3,1
95,choiak,choiak_h,6008,eng,1,"0,1,0,1,0,1,0","6, 7",0,"0000022519, 0000015820, 0000024899, 0000028520, 0000013578, 0000018146, 0000004171, 0000000434, 0000009546, 0000028936, 0000020595, 0000030643, 0000018715, 0000030806, 0000021884, 0000015867, 0000000861, 0000031366, 0000013133, 0000004514, 0000029270, 0000023569",1201010107,22,450000,1,1
96,choiak,choiak_i,6009,eng,5,"1,0,1,0,1,0,0","7, 8",0,"0000011916, 0000029932, 0000002197, 0000023403, 0000013034, 0000004120, 0000004730, 0000011972, 0000023556, 0000018583, 0000030165, 0000025961, 0000000055, 0000017635, 0000000652, 0000001461, 0000027193, 0000019297, 0000012732, 0000032615, 0000031141, 0000028892, 0000027223, 0000028080, 0000011443",1201010508,25,310000,2,3